,0
<http://dbpedia.org/resource/Hans_Zimmer>,115
<http://dbpedia.org/resource/Interscope_Records>,115
<http://dbpedia.org/resource/New_wave_music>,114
<http://dbpedia.org/resource/Netherlands>,113
<http://dbpedia.org/resource/Hardcore_punk>,113
<http://dbpedia.org/resource/Film>,111
<http://dbpedia.org/resource/Folk_rock>,110
<http://dbpedia.org/resource/Folk_music>,110
<http://dbpedia.org/resource/Republican_Party_(United_States)>,110
<http://dbpedia.org/resource/Experimental_rock>,108
<http://dbpedia.org/resource/San_Francisco>,108
<http://dbpedia.org/resource/Maharashtra>,107
<http://dbpedia.org/resource/CBS>,107
"<http://dbpedia.org/resource/Beverly_Hills,_California>",107
<http://dbpedia.org/resource/Boston>,107
<http://dbpedia.org/resource/Land-grant_university>,107
<http://dbpedia.org/resource/Mexico>,107
<http://dbpedia.org/resource/Spanish_language>,107
<http://dbpedia.org/resource/Polydor_Records>,106
<http://dbpedia.org/resource/Fox_Broadcasting_Company>,105
<http://dbpedia.org/resource/Maryland>,105
<http://dbpedia.org/resource/Jazz_fusion>,105
<http://dbpedia.org/resource/EMI>,105
<http://dbpedia.org/resource/Ministry_(band)>,104
<http://dbpedia.org/resource/Grateful_Dead>,104
<http://dbpedia.org/resource/Synthpop>,104
<http://dbpedia.org/resource/Connecticut>,102
<http://dbpedia.org/resource/Indiana>,102
<http://dbpedia.org/resource/Public_company>,102
<http://dbpedia.org/resource/Philadelphia>,101
<http://dbpedia.org/resource/Nine_Inch_Nails>,101
<http://dbpedia.org/resource/Reprise_Records>,100
<http://dbpedia.org/resource/Spain>,99
<http://dbpedia.org/resource/HBO>,99
<http://dbpedia.org/resource/Miramax>,99
<http://dbpedia.org/resource/Paris>,98
<http://dbpedia.org/resource/Elektra_Records>,97
<http://dbpedia.org/resource/Voice_acting>,97
<http://dbpedia.org/resource/Disco>,97
<http://dbpedia.org/resource/Indie_rock>,97
<http://dbpedia.org/resource/Scotland>,96
<http://dbpedia.org/resource/Video_game_industry>,96
<http://dbpedia.org/resource/Record_producer>,96
<http://dbpedia.org/resource/Island_Records>,96
<http://dbpedia.org/resource/Sampler_(musical_instrument)>,94
<http://dbpedia.org/resource/John_Williams>,92
<http://dbpedia.org/resource/Oregon>,91
<http://dbpedia.org/resource/Pharrell_Williams>,91
<http://dbpedia.org/resource/The_Bronx>,91
<http://dbpedia.org/resource/Elizabeth_II>,91
<http://dbpedia.org/resource/Film_score>,90
<http://dbpedia.org/resource/Washington_(state)>,90
<http://dbpedia.org/resource/House_music>,89
<http://dbpedia.org/resource/20th_Century_Fox_Television>,89
<http://dbpedia.org/resource/Tennessee>,88
<http://dbpedia.org/resource/Switzerland>,88
<http://dbpedia.org/resource/Subsidiary>,87
<http://dbpedia.org/resource/Detroit>,87
<http://dbpedia.org/resource/South_Africa>,87
<http://dbpedia.org/resource/Arabic>,87
<http://dbpedia.org/resource/Ukraine>,86
<http://dbpedia.org/resource/Eric_Clapton>,86
<http://dbpedia.org/resource/Television_producer>,86
<http://dbpedia.org/resource/Art_rock>,86
<http://dbpedia.org/resource/Eastern_European_Time>,86
<http://dbpedia.org/resource/James_Newton_Howard>,86
<http://dbpedia.org/resource/Alabama>,85
<http://dbpedia.org/resource/Mercury_Records>,85
<http://dbpedia.org/resource/Rick_Rubin>,85
<http://dbpedia.org/resource/Def_Jam_Recordings>,85
<http://dbpedia.org/resource/Danny_Elfman>,85
<http://dbpedia.org/resource/The_Nightwatchman>,85
<http://dbpedia.org/resource/Houston>,85
<http://dbpedia.org/resource/Garage_rock>,84
<http://dbpedia.org/resource/Warren_Zevon>,84
<http://dbpedia.org/resource/Black_comedy>,84
<http://dbpedia.org/resource/DreamWorks>,84
<http://dbpedia.org/resource/Lions_Gate_Entertainment>,82
<http://dbpedia.org/resource/Atlanta>,82
<http://dbpedia.org/resource/MCA_Records>,81
<http://dbpedia.org/resource/Howard_Shore>,81
"<http://dbpedia.org/resource/Los_Angeles_County,_California>",81
<http://dbpedia.org/resource/Steven_Spielberg>,80
<http://dbpedia.org/resource/James_Horner>,79
<http://dbpedia.org/resource/Sanctuary_Records_Group>,78
<http://dbpedia.org/resource/Joni_Mitchell>,78
<http://dbpedia.org/resource/Science_fiction>,77
<http://dbpedia.org/resource/Country_rock>,77
<http://dbpedia.org/resource/Nas>,77
<http://dbpedia.org/resource/Metallica>,77
<http://dbpedia.org/resource/Richard_Pryor>,77
<http://dbpedia.org/resource/Songwriter>,77
<http://dbpedia.org/resource/New_York_University>,76
"<http://dbpedia.org/resource/Missy_""Misdemeanor""_Elliot>",76
<http://dbpedia.org/resource/Ambient_music>,75
<http://dbpedia.org/resource/Miles_Davis>,75
<http://dbpedia.org/resource/The_Tudors>,75
<http://dbpedia.org/resource/Philippines>,75
<http://dbpedia.org/resource/Rhino_Entertainment>,75
<http://dbpedia.org/resource/Guns_N'_Roses>,75
<http://dbpedia.org/resource/Woody_Allen>,75
<http://dbpedia.org/resource/Luc_Besson>,74
<http://dbpedia.org/resource/Hollywood>,74
<http://dbpedia.org/resource/Jerry_Goldsmith>,74
<http://dbpedia.org/resource/Berlin-turkish.com>,74
<http://dbpedia.org/resource/Focus_Features>,73
<http://dbpedia.org/resource/Greece>,73
<http://dbpedia.org/resource/Sweden>,73
<http://dbpedia.org/resource/Gospel_music>,73
<http://dbpedia.org/resource/Friedrich_Nietzsche>,72
<http://dbpedia.org/resource/Missouri>,72
<http://dbpedia.org/resource/Jackson_Browne>,72
<http://dbpedia.org/resource/Brazil>,72
<http://dbpedia.org/resource/29th_State>,72
<http://dbpedia.org/resource/New_Line_Cinema>,71
<http://dbpedia.org/resource/Israel>,71
<http://dbpedia.org/resource/Mayor>,71
<http://dbpedia.org/resource/Tamil_Nadu>,71
<http://dbpedia.org/resource/Clint_Eastwood>,71
<http://dbpedia.org/resource/Pakistan>,71
<http://dbpedia.org/resource/Neil_Young>,70
<http://dbpedia.org/resource/Al_Jourgensen>,70
"<http://dbpedia.org/resource/Nashville,_Tennessee>",70
<http://dbpedia.org/resource/Immanuel_Kant>,70
<http://dbpedia.org/resource/Alan_Silvestri>,70
<http://dbpedia.org/resource/Queens>,70
<http://dbpedia.org/resource/Minnesota>,69
<http://dbpedia.org/resource/Tokyo>,69
<http://dbpedia.org/resource/Harry_Gregson-Williams>,69
<http://dbpedia.org/resource/Arizona>,69
"<http://dbpedia.org/resource/Burbank,_California>",69
<http://dbpedia.org/resource/Kentucky>,69
<http://dbpedia.org/resource/Bob_Dylan>,68
<http://dbpedia.org/resource/Mountain_Time_Zone>,68
<http://dbpedia.org/resource/New_Zealand>,68
<http://dbpedia.org/resource/Seattle>,68
<http://dbpedia.org/resource/Trent_Reznor>,68
<http://dbpedia.org/resource/British_Columbia>,68
<http://dbpedia.org/resource/Herbie_Hancock>,68
<http://dbpedia.org/resource/Decca_Records>,68
<http://dbpedia.org/resource/Russia>,68
<http://dbpedia.org/resource/Brian_Eno>,68
<http://dbpedia.org/resource/Linda_Ronstadt>,67
<http://dbpedia.org/resource/A&M_Records>,67
<http://dbpedia.org/resource/South_Korea>,67
<http://dbpedia.org/resource/Hard_bop>,67
<http://dbpedia.org/resource/Indian_people>,67
<http://dbpedia.org/resource/John_Powell_(film_composer)>,67
<http://dbpedia.org/resource/Van_Morrison>,67
<http://dbpedia.org/resource/Geffen_Records>,67
<http://dbpedia.org/resource/Belgium>,66
<http://dbpedia.org/resource/Kenny_Rogers>,66
<http://dbpedia.org/resource/South_Carolina>,66
<http://dbpedia.org/resource/Carter_Burwell>,66
<http://dbpedia.org/resource/Iggy_Pop>,65
<http://dbpedia.org/resource/Pearl_Jam>,65
<http://dbpedia.org/resource/David_Hume>,65
<http://dbpedia.org/resource/Industrial_metal>,65
<http://dbpedia.org/resource/الأرجنتين>,65
<http://dbpedia.org/resource/Verve_Records>,65
<http://dbpedia.org/resource/George_Harrison>,65
<http://dbpedia.org/resource/Sony_Pictures_Classics>,65
<http://dbpedia.org/resource/Timbaland>,64
<http://dbpedia.org/resource/Bluegrass_music>,64
<http://dbpedia.org/resource/Alexandre_Desplat>,64
<http://dbpedia.org/resource/Dallas>,64
<http://dbpedia.org/resource/Mohammed_and_Mohammedism>,64
<http://dbpedia.org/resource/Quincy_Jones>,64
<http://dbpedia.org/resource/Columbia_University>,64
<http://dbpedia.org/resource/Comedy_Central>,64
<http://dbpedia.org/resource/Wisconsin>,64
<http://dbpedia.org/resource/Bruce_Hornsby>,64
<http://dbpedia.org/resource/Led_Zeppelin>,64
<http://dbpedia.org/resource/Hong_Kong>,63
<http://dbpedia.org/resource/Football_League_Championship>,63
<http://dbpedia.org/resource/Star_Plus>,63
<http://dbpedia.org/resource/Reggae>,63
<http://dbpedia.org/resource/CBS_Corporation>,63
<http://dbpedia.org/resource/Pat_Metheny>,63
<http://dbpedia.org/resource/Electronica>,63
<http://dbpedia.org/resource/The_Beatles>,63
<http://dbpedia.org/resource/Colorado>,62
<http://dbpedia.org/resource/Oxford>,62
<http://dbpedia.org/resource/Glam_rock>,62
"<http://dbpedia.org/resource/Newark,_New_Jersey>",62
<http://dbpedia.org/resource/Marilyn_Manson_(band)>,62
<http://dbpedia.org/resource/World_War_II>,62
<http://dbpedia.org/resource/Modest_Mouse>,62
<http://dbpedia.org/resource/Steve_Vai>,61
<http://dbpedia.org/resource/Aristotle>,61
<http://dbpedia.org/resource/Chick_Corea>,61
<http://dbpedia.org/resource/Electronic_dance_music>,61
<http://dbpedia.org/resource/Extreme_metal>,61
<http://dbpedia.org/resource/Wreck-It_Ralph>,61
<http://dbpedia.org/resource/Soundgarden>,61
<http://dbpedia.org/resource/Dance-pop>,61
<http://dbpedia.org/resource/Trip_hop>,61
<http://dbpedia.org/resource/Pittsburgh>,61
<http://dbpedia.org/resource/Martin_Heidegger>,60
<http://dbpedia.org/resource/Snoop_Dogg>,60
<http://dbpedia.org/resource/Michael_Brecker>,60
<http://dbpedia.org/resource/Lancashire>,60
<http://dbpedia.org/resource/St._Louis>,60
<http://dbpedia.org/resource/TriStar_Pictures>,60
<http://dbpedia.org/resource/Magna_Carta_Holy_Grail>,60
<http://dbpedia.org/resource/Alain_Johannes>,60
<http://dbpedia.org/resource/The_Office_(U.S._TV_series)>,60
<http://dbpedia.org/resource/Asia_(band)>,59
<http://dbpedia.org/resource/Yes_(band)>,59
<http://dbpedia.org/resource/Punjabis>,59
<http://dbpedia.org/resource/Hollywood_Records>,59
<http://dbpedia.org/resource/Maine>,59
<http://dbpedia.org/resource/Baruch_Spinoza>,59
<http://dbpedia.org/resource/Portuguese_language>,59
<http://dbpedia.org/resource/Christianity>,59
<http://dbpedia.org/resource/Arista_Records>,59
<http://dbpedia.org/resource/Atco_Records>,59
<http://dbpedia.org/resource/Oklahoma>,59
<http://dbpedia.org/resource/Manchester>,59
<http://dbpedia.org/resource/Scottish_people>,59
<http://dbpedia.org/resource/New_Orleans>,58
<http://dbpedia.org/resource/Maya_Rudolph>,58
<http://dbpedia.org/resource/Baltimore>,58
<http://dbpedia.org/resource/Chris_Brown>,58
<http://dbpedia.org/resource/Georg_Wilhelm_Friedrich_Hegel>,58
<http://dbpedia.org/resource/Tom_Hanks>,58
<http://dbpedia.org/resource/Jean-Paul_Sartre>,58
<http://dbpedia.org/resource/The_Weinstein_Company>,58
<http://dbpedia.org/resource/Alternative_metal>,58
<http://dbpedia.org/resource/Myocardial_infarction>,58
<http://dbpedia.org/resource/Electronic_body_music>,58
<http://dbpedia.org/resource/Political_satire>,58
<http://dbpedia.org/resource/University>,58
<http://dbpedia.org/resource/Deep_Purple>,58
<http://dbpedia.org/resource/Rome>,57
<http://dbpedia.org/resource/Usher_(singer)>,57
<http://dbpedia.org/resource/Lenny_Kravitz>,57
<http://dbpedia.org/resource/Michael_Jackson>,57
<http://dbpedia.org/resource/The_Flaming_Lips>,57
<http://dbpedia.org/resource/Josh_Homme>,57
<http://dbpedia.org/resource/Nu_metal>,57
<http://dbpedia.org/resource/Cleveland>,57
<http://dbpedia.org/resource/Tom_Petty>,57
<http://dbpedia.org/resource/Kerala>,57
<http://dbpedia.org/resource/Parliamentary_system>,57
<http://dbpedia.org/resource/Robert_Fripp>,57
<http://dbpedia.org/resource/Classical_music>,56
<http://dbpedia.org/resource/Ringo_Starr_&_His_All-Starr_Band>,56
<http://dbpedia.org/resource/Thomas_Newman>,56
<http://dbpedia.org/resource/Fox_Searchlight_Pictures>,56
<http://dbpedia.org/resource/Neo-psychedelia>,56
<http://dbpedia.org/resource/Tricky_Stewart>,56
<http://dbpedia.org/resource/Power_pop>,56
<http://dbpedia.org/resource/Chaka_Khan>,56
<http://dbpedia.org/resource/Satire>,56
<http://dbpedia.org/resource/Prison_Break>,56
<http://dbpedia.org/resource/Waddy_Wachtel>,56
<http://dbpedia.org/resource/French_people>,56
<http://dbpedia.org/resource/The_Walt_Disney_Company>,56
<http://dbpedia.org/resource/Van_Halen>,56
<http://dbpedia.org/resource/Iran>,55
<http://dbpedia.org/resource/Hawaii>,55
<http://dbpedia.org/resource/Wales>,55
<http://dbpedia.org/resource/Jaco_Pastorius>,55
<http://dbpedia.org/resource/Mandolin>,55
<http://dbpedia.org/resource/Neo_soul>,55
<http://dbpedia.org/resource/Chennai>,55
<http://dbpedia.org/resource/Sony>,55
<http://dbpedia.org/resource/David_Lynch>,55
<http://dbpedia.org/resource/Diane_Warren>,55
<http://dbpedia.org/resource/Cambridge>,55
<http://dbpedia.org/resource/Experimental_music>,55
<http://dbpedia.org/resource/Guernsey>,55
<http://dbpedia.org/resource/Lou_Reed>,55
<http://dbpedia.org/resource/Victory_Records>,55
<http://dbpedia.org/resource/LL_Cool_J>,55
<http://dbpedia.org/resource/Mary_J._Blige>,55
<http://dbpedia.org/resource/Austria>,54
<http://dbpedia.org/resource/Joan_Baez>,54
<http://dbpedia.org/resource/Musician>,54
<http://dbpedia.org/resource/Bootsy_Collins>,54
<http://dbpedia.org/resource/Thrash_metal>,54
<http://dbpedia.org/resource/Fat_Joe>,54
<http://dbpedia.org/resource/New_Hampshire>,54
<http://dbpedia.org/resource/Michael_Piller>,54
<http://dbpedia.org/resource/San_Francisco_Bay_Area>,54
<http://dbpedia.org/resource/George_Fenton>,54
<http://dbpedia.org/resource/The_Ice_Storm_(film)>,54
<http://dbpedia.org/resource/Poland>,54
<http://dbpedia.org/resource/Soft_rock>,54
<http://dbpedia.org/resource/Ricky_Skaggs>,54
<http://dbpedia.org/resource/Barack_Obama>,53
<http://dbpedia.org/resource/Jerry_Garcia>,53
<http://dbpedia.org/resource/Don_Henley>,53
<http://dbpedia.org/resource/The_Neptunes>,53
<http://dbpedia.org/resource/Division_(business)>,53
<http://dbpedia.org/resource/Edward_G._Robinson>,53
<http://dbpedia.org/resource/Robert_Richardson_(cinematographer)>,53
<http://dbpedia.org/resource/Peter_Gabriel>,53
<http://dbpedia.org/resource/Brian_Grazer>,53
<http://dbpedia.org/resource/Loudon_Wainwright_III>,53
<http://dbpedia.org/resource/Akon>,53
<http://dbpedia.org/resource/Jean-Jacques_Rousseau>,53
<http://dbpedia.org/resource/Mychael_Danna>,53
<http://dbpedia.org/resource/EastEnders>,53
<http://dbpedia.org/resource/Banjo>,53
<http://dbpedia.org/resource/Adrian_Belew>,53
<http://dbpedia.org/resource/Randy_Newman>,53
<http://dbpedia.org/resource/Rocky_Balboa_(film)>,52
<http://dbpedia.org/resource/Oliver_Stone>,52
<http://dbpedia.org/resource/Roots_rock>,52
<http://dbpedia.org/resource/Lost_(TV_series)>,52
<http://dbpedia.org/resource/Rockabilly>,52
<http://dbpedia.org/resource/Rhode_Island>,52
<http://dbpedia.org/resource/Techno>,52
<http://dbpedia.org/resource/Montana>,52
<http://dbpedia.org/resource/Rodney_Jerkins>,52
<http://dbpedia.org/resource/Denmark>,52
<http://dbpedia.org/resource/Glasgow>,52
<http://dbpedia.org/resource/Angelo_Badalamenti>,52
<http://dbpedia.org/resource/Dan_Craig>,52
<http://dbpedia.org/resource/Marco_Beltrami>,52
<http://dbpedia.org/resource/Aretha_Franklin>,52
<http://dbpedia.org/resource/David_Arnold>,52
<http://dbpedia.org/resource/Surrey>,52
<http://dbpedia.org/resource/Flea_(musician)>,52
<http://dbpedia.org/resource/David_Guetta>,52
<http://dbpedia.org/resource/Gothic_rock>,52
<http://dbpedia.org/resource/American_Jews>,52
<http://dbpedia.org/resource/Beck>,51
<http://dbpedia.org/ontology/Athlete>,51
<http://dbpedia.org/resource/Resident_Evil:_Extinction>,51
<http://dbpedia.org/resource/Q-Tip_(musician)>,51
<http://dbpedia.org/resource/Trey_Anastasio>,51
<http://dbpedia.org/resource/Stephen_Stills>,51
<http://dbpedia.org/resource/Breakbeat>,51
<http://dbpedia.org/resource/Time_Warner>,51
<http://dbpedia.org/resource/StudioCanal>,51
<http://dbpedia.org/resource/Newcastle_University>,51
<http://dbpedia.org/resource/Singer-songwriter>,51
<http://dbpedia.org/resource/Miami>,51
<http://dbpedia.org/resource/Roger_Deakins>,51
<http://dbpedia.org/resource/Pedagogy>,51
<http://dbpedia.org/resource/Overseas_Chinese>,51
<http://dbpedia.org/resource/Industrial_music>,51
<http://dbpedia.org/resource/Robert_Rodriguez>,50
<http://dbpedia.org/resource/Paul_Oakenfold>,50
<http://dbpedia.org/resource/Lupe_Fiasco>,50
<http://dbpedia.org/resource/Nico>,50
<http://dbpedia.org/resource/Alison_Krauss>,50
<http://dbpedia.org/resource/Judd_Apatow>,50
<http://dbpedia.org/resource/Jane's_Addiction>,50
<http://dbpedia.org/resource/Adam_Sandler>,50
<http://dbpedia.org/resource/University_of_Southern_California>,50
<http://dbpedia.org/resource/John_Locke>,50
<http://dbpedia.org/resource/Dedication_(Aaliyah_album)>,50
<http://dbpedia.org/resource/Theodor_W._Adorno>,50
<http://dbpedia.org/resource/NBCUniversal>,50
<http://dbpedia.org/resource/Jeff_Lynne>,50
<http://dbpedia.org/resource/Jam_band>,50
"<http://dbpedia.org/resource/Louisville,_Kentucky>",50
<http://dbpedia.org/resource/Mississippi>,50
<http://dbpedia.org/resource/Chairman>,50
<http://dbpedia.org/resource/Joel_Silver>,50
<http://dbpedia.org/resource/King_Crimson>,50
<http://dbpedia.org/resource/John_Debney>,50
<http://dbpedia.org/resource/Stanley_Clarke>,49
<http://dbpedia.org/resource/The_Rolling_Stones>,49
<http://dbpedia.org/resource/Nick_Cave>,49
<http://dbpedia.org/resource/Electro_(music)>,49
<http://dbpedia.org/resource/Austria-Hungary>,49
<http://dbpedia.org/resource/The_Roots>,49
<http://dbpedia.org/resource/White_Americans>,49
<http://dbpedia.org/resource/Alfred_Hitchcock>,49
<http://dbpedia.org/resource/John_Logan_(writer)>,49
"<http://dbpedia.org/resource/Memphis,_Tennessee>",49
<http://dbpedia.org/resource/Giorgio_Moroder>,49
<http://dbpedia.org/resource/Drum_and_bass>,49
<http://dbpedia.org/resource/The_Adventures_of_Pluto_Nash>,49
<http://dbpedia.org/resource/Contemporary_Christian_music>,49
<http://dbpedia.org/resource/Fantasy>,49
<http://dbpedia.org/resource/Emmylou_Harris>,49
<http://dbpedia.org/resource/Barbra_Streisand>,49
<http://dbpedia.org/resource/20th-century_philosophy>,49
<http://dbpedia.org/resource/U2>,49
<http://dbpedia.org/resource/Nevada>,49
<http://dbpedia.org/resource/New-age_music>,49
<http://dbpedia.org/resource/Norway>,49
<http://dbpedia.org/resource/Screen_Gems>,49
<http://dbpedia.org/resource/Saxophone>,49
<http://dbpedia.org/resource/CeeLo_Green>,48
<http://dbpedia.org/resource/Reggae_fusion>,48
<http://dbpedia.org/resource/Ray_Charles>,48
<http://dbpedia.org/resource/Joe_Walsh>,48
<http://dbpedia.org/resource/Arkansas>,48
<http://dbpedia.org/resource/Marilyn_Manson>,48
<http://dbpedia.org/resource/Weezer>,48
<http://dbpedia.org/resource/John_Barry_(composer)>,48
<http://dbpedia.org/resource/Bobby_(2006_film)>,48
<http://dbpedia.org/resource/Kent>,48
<http://dbpedia.org/resource/Indianapolis>,48
<http://dbpedia.org/resource/Robert_Elswit>,48
<http://dbpedia.org/resource/Nick_Cave_and_the_Bad_Seeds>,48
<http://dbpedia.org/resource/Patti_LaBelle>,48
<http://dbpedia.org/resource/Santana_(band)>,48
<http://dbpedia.org/resource/Dublin>,48
<http://dbpedia.org/resource/Genesis_(band)>,48
<http://dbpedia.org/resource/Utah>,48
<http://dbpedia.org/resource/Yale_University>,48
<http://dbpedia.org/resource/University_of_Oxford>,48
<http://dbpedia.org/resource/Josh_Freese>,48
<http://dbpedia.org/resource/Birmingham>,48
<http://dbpedia.org/resource/Percussion_instrument>,47
<http://dbpedia.org/resource/Angelina_Jolie>,47
<http://dbpedia.org/resource/Jump_blues>,47
<http://dbpedia.org/resource/Intelligent_dance_music>,47
<http://dbpedia.org/resource/Dub_music>,47
<http://dbpedia.org/resource/Los_Lobos>,47
<http://dbpedia.org/resource/Chief_executive_officer>,47
<http://dbpedia.org/resource/Robert_Wyatt>,47
<http://dbpedia.org/resource/GMA_Network>,47
<http://dbpedia.org/resource/Bow_Wow_(rapper)>,47
<http://dbpedia.org/resource/Jenna_Wolfe>,47
<http://dbpedia.org/resource/San_Diegan_(train)>,47
<http://dbpedia.org/resource/Timeless_(2014_film)>,47
