,1
<http://dbpedia.org/ontology/usingCountry>,34
<http://dbpedia.org/ontology/daylightSavingTimeZone>,34
<http://dbpedia.org/ontology/sport>,31
<http://dbpedia.org/ontology/broadcastArea>,31
<http://dbpedia.org/ontology/nearestCity>,29
<http://dbpedia.org/ontology/anthem>,26
<http://dbpedia.org/ontology/showJudge>,25
<http://dbpedia.org/ontology/service>,25
<http://dbpedia.org/ontology/twinTown>,25
<http://dbpedia.org/ontology/governingBody>,23
<http://dbpedia.org/ontology/ceremonialCounty>,22
<http://dbpedia.org/ontology/relation>,21
<http://dbpedia.org/ontology/employer>,19
<http://dbpedia.org/ontology/monarch>,18
<http://dbpedia.org/ontology/primeMinister>,18
<http://dbpedia.org/ontology/license>,17
<http://dbpedia.org/ontology/openingTheme>,17
<http://dbpedia.org/ontology/draftTeam>,16
<http://dbpedia.org/ontology/previousWork>,16
<http://dbpedia.org/ontology/publisher>,16
<http://dbpedia.org/ontology/head>,16
<http://dbpedia.org/ontology/subsequentWork>,15
<http://dbpedia.org/ontology/garrison>,15
<http://purl.org/dc/elements/1.1/subject>,15
<http://dbpedia.org/ontology/politicalPartyOfLeader>,15
<http://dbpedia.org/ontology/veneratedIn>,14
<http://dbpedia.org/ontology/managerClub>,14
<http://dbpedia.org/ontology/artist>,13
<http://dbpedia.org/ontology/hubAirport>,12
<http://dbpedia.org/ontology/militaryRank>,12
<http://dbpedia.org/ontology/vicePresident>,11
<http://dbpedia.org/ontology/parentOrganisation>,11
<http://dbpedia.org/ontology/notableIdea>,11
<http://dbpedia.org/ontology/gender>,11
<http://dbpedia.org/ontology/district>,11
<http://dbpedia.org/ontology/commandStructure>,11
<http://dbpedia.org/ontology/chancellor>,11
<http://dbpedia.org/ontology/person>,11
<http://dbpedia.org/ontology/jurisdiction>,9
<http://dbpedia.org/ontology/series>,9
<http://dbpedia.org/ontology/secondCommander>,8
<http://dbpedia.org/ontology/county>,8
<http://dbpedia.org/ontology/routeJunction>,8
<http://dbpedia.org/ontology/stadium>,8
<http://dbpedia.org/ontology/equipment>,8
<http://dbpedia.org/ontology/institution>,8
<http://dbpedia.org/ontology/chairman>,8
<http://dbpedia.org/ontology/college>,8
<http://dbpedia.org/ontology/operatingSystem>,7
<http://dbpedia.org/ontology/notableCommander>,7
<http://dbpedia.org/ontology/broadcastNetwork>,7
<http://dbpedia.org/ontology/department>,7
<http://dbpedia.org/ontology/architecturalStyle>,7
<http://dbpedia.org/ontology/alliance>,6
<http://dbpedia.org/ontology/lieutenancyArea>,6
<http://dbpedia.org/ontology/debutTeam>,6
<http://dbpedia.org/ontology/river>,6
<http://dbpedia.org/ontology/editor>,5
<http://dbpedia.org/ontology/councilArea>,5
<http://dbpedia.org/ontology/mergedIntoParty>,5
<http://dbpedia.org/ontology/recordedIn>,5
<http://dbpedia.org/ontology/mouthPlace>,4
<http://dbpedia.org/ontology/mouthMountain>,4
<http://dbpedia.org/ontology/board>,4
<http://dbpedia.org/ontology/otherParty>,4
<http://dbpedia.org/ontology/riverMouth>,4
<http://dbpedia.org/ontology/nationalAffiliation>,4
<http://dbpedia.org/ontology/house>,4
<http://dbpedia.org/ontology/ingredient>,4
<http://dbpedia.org/ontology/childOrganisation>,4
<http://dbpedia.org/ontology/programmeFormat>,4
<http://dbpedia.org/ontology/kingdom>,4
<http://dbpedia.org/ontology/musicalBand>,4
<http://dbpedia.org/ontology/targetAirport>,4
<http://dbpedia.org/ontology/openingFilm>,4
<http://dbpedia.org/ontology/musicalArtist>,4
<http://dbpedia.org/ontology/closingFilm>,3
<http://dbpedia.org/ontology/manufacturer>,3
<http://dbpedia.org/ontology/borough>,3
<http://dbpedia.org/ontology/lowestPlace>,3
<http://dbpedia.org/ontology/sourceMountain>,3
<http://dbpedia.org/ontology/voiceType>,3
<http://dbpedia.org/ontology/grades>,3
<http://dbpedia.org/ontology/sourcePlace>,3
<http://dbpedia.org/ontology/honours>,3
<http://dbpedia.org/ontology/inflow>,3
<http://dbpedia.org/ontology/mayor>,3
<http://dbpedia.org/ontology/coach>,3
<http://dbpedia.org/ontology/portrayer>,3
<http://dbpedia.org/ontology/island>,3
<http://dbpedia.org/ontology/species>,3
<http://dbpedia.org/ontology/majorShrine>,3
<http://dbpedia.org/ontology/locatedInArea>,3
<http://dbpedia.org/ontology/patron>,2
<http://dbpedia.org/ontology/formerBroadcastNetwork>,2
<http://dbpedia.org/ontology/endingTheme>,2
<http://dbpedia.org/ontology/rival>,2
<http://dbpedia.org/ontology/principalArea>,2
<http://dbpedia.org/ontology/academicAdvisor>,2
<http://dbpedia.org/ontology/origin>,2
<http://dbpedia.org/ontology/governor>,2
<http://dbpedia.org/ontology/canonizedPlace>,2
<http://dbpedia.org/ontology/viceChancellor>,2
<http://dbpedia.org/ontology/largestSettlement>,2
<http://dbpedia.org/ontology/languageRegulator>,2
<http://dbpedia.org/ontology/associate>,2
<http://dbpedia.org/ontology/founder>,2
<http://dbpedia.org/ontology/sourceCountry>,2
<http://dbpedia.org/ontology/mouthCountry>,2
<http://dbpedia.org/ontology/aircraftTransport>,2
<http://xmlns.com/foaf/0.1/depiction>,2
<http://dbpedia.org/ontology/frazioni>,2
<http://dbpedia.org/ontology/lowestMountain>,2
<http://dbpedia.org/ontology/archipelago>,2
<http://dbpedia.org/ontology/sourceRegion>,2
<http://dbpedia.org/ontology/province>,2
<http://dbpedia.org/ontology/significantBuilding>,2
<http://dbpedia.org/ontology/sourceConfluencePlace>,1
<http://dbpedia.org/ontology/leftTributary>,1
<http://dbpedia.org/ontology/promotion>,1
<http://dbpedia.org/ontology/outflow>,1
<http://dbpedia.org/ontology/sourceConfluenceRegion>,1
<http://dbpedia.org/ontology/splitFromParty>,1
<http://dbpedia.org/ontology/literaryGenre>,1
<http://dbpedia.org/ontology/releaseLocation>,1
<http://dbpedia.org/ontology/sportGoverningBody>,1
<http://dbpedia.org/ontology/televisionSeries>,1
<http://dbpedia.org/ontology/mouthRegion>,1
<http://dbpedia.org/ontology/rightTributary>,1
<http://dbpedia.org/ontology/training>,1
<http://dbpedia.org/ontology/canton>,1
<http://dbpedia.org/ontology/highschool>,1
<http://dbpedia.org/ontology/map>,1
<http://dbpedia.org/ontology/municipality>,1
<http://dbpedia.org/ontology/designer>,1
<http://dbpedia.org/ontology/provost>,1
<http://dbpedia.org/ontology/routeEnd>,1
<http://dbpedia.org/ontology/localAuthority>,1
<http://dbpedia.org/ontology/class>,1
<http://dbpedia.org/ontology/sourceConfluenceMountain>,1
<http://dbpedia.org/ontology/source>,1
<http://dbpedia.org/ontology/cpu>,1
<http://dbpedia.org/ontology/sourceConfluenceState>,1
<http://dbpedia.org/ontology/animator>,1
<http://dbpedia.org/ontology/metropolitanBorough>,1
<http://dbpedia.org/ontology/youthWing>,1
<http://dbpedia.org/ontology/routeStart>,1
